序号,CIDR归属厂商,CIDR归属地,CIDR,IP数量,IP列表
1968,CGI GLOBAL LIMITED,荷兰 北荷兰省 阿姆斯特丹,31.58.220.0/24,2,31.58.220.68;31.58.220.200
1969,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.59.104.0/24,2,31.59.104.146;31.59.104.162
1970,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,31.59.106.0/24,2,31.59.106.71;31.59.106.39
1971,CGI GLOBAL LIMITED,荷兰 北荷兰省 阿姆斯特丹,31.59.114.0/24,2,31.59.114.16;31.59.114.3
1972,CGI GLOBAL LIMITED,美国 得克萨斯州 達拉斯,31.59.138.0/24,2,31.59.138.204;31.59.138.157
1973,SERV.HOST GROUP LTD,芬兰 新地区 赫尔辛基,31.76.2.0/24,2,31.76.2.91;31.76.2.9
1974,SERV.HOST GROUP LTD,瑞士 苏黎世州 苏黎世,31.76.4.0/24,2,31.76.4.94;31.76.4.6
1975,SERV.HOST GROUP LTD,捷克 Prague 布拉格,31.76.7.0/24,2,31.76.7.191;31.76.7.10
1976,CHSL Helsinki,芬兰 新地区 赫尔辛基,31.76.42.0/24,2,31.76.42.72;31.76.42.41
1977,Xorek.Cloud Helsinki,芬兰 新地区 赫尔辛基,31.76.50.0/24,2,31.76.50.23;31.76.50.80
1978,SERV.HOST GROUP LTD,德国 黑森州 法兰克福,31.76.54.0/24,2,31.76.54.72;31.76.54.28
1979,SERV.HOST GROUP LTD,拉脱维亚 Riga 里加,31.76.62.0/24,2,31.76.62.129;31.76.62.188
1980,nuxt.cloud hosting provider,德国 黑森州 法兰克福,31.76.72.0/24,2,31.76.72.0;31.76.72.112
1981,Play2go International Limited,荷兰 北荷兰省 阿姆斯特丹,31.76.76.0/24,2,31.76.76.78;31.76.76.194
1982,VPSPay Networks LTD,芬兰 新地区 赫尔辛基,31.76.102.0/24,2,31.76.102.160;31.76.102.182
1983,Akenai Products LTD,意大利 Lombardy Milan,31.76.113.0/24,2,31.76.113.164;31.76.113.61
1984,SERV.HOST GROUP LTD,芬兰 新地区 赫尔辛基,31.76.114.0/24,2,31.76.114.141;31.76.114.84
1985,SERV.HOST GROUP LTD,荷兰 北荷兰省 阿姆斯特丹,31.76.115.0/24,2,31.76.115.241;31.76.115.228
1986,VPSPay Networks LTD,荷兰 北荷兰省 阿姆斯特丹,31.76.252.0/24,2,31.76.252.10;31.76.252.71
1987,Qwins LTD,德国 黑森州 法兰克福,31.77.57.0/24,2,31.77.57.229;31.77.57.10
1988,Ipxo,荷兰 北荷兰省 阿姆斯特丹,31.77.123.0/24,2,31.77.123.4;31.77.123.8
1989,Nekobyte International Limited,德国 黑森州 法兰克福,31.77.133.0/24,2,31.77.133.3;31.77.133.224
1990,SERV.HOST GROUP LTD,德国 黑森州 法兰克福,31.77.142.0/24,2,31.77.142.108;31.77.142.249
1991,Play2go International Limited,瑞典 Stockholm County 斯德哥尔摩,31.77.158.0/24,2,31.77.158.172;31.77.158.93
1992,Qwins LTD,荷兰 北荷兰省 阿姆斯特丹,31.77.170.0/24,2,31.77.170.73;31.77.170.1
1993,Xorek.Cloud Amsterdam,荷兰 北荷兰省 阿姆斯特丹,31.77.198.0/24,2,31.77.198.27;31.77.198.63
1994,Akenai Products LTD,意大利 Lombardy Milan,31.77.201.0/24,2,31.77.201.26;31.77.201.20
1995,Xorek.Cloud Helsinki,芬兰 新地区 赫尔辛基,31.77.202.0/24,2,31.77.202.220;31.77.202.244
1996,Qwins LTD,德国 黑森州 法兰克福,31.77.219.0/24,2,31.77.219.64;31.77.219.101
1997,Ipxo,德国 黑森州 法兰克福,31.77.241.0/24,2,31.77.241.206;31.77.241.226
1998,"Timeweb, LLP",荷兰 北荷兰省 阿姆斯特丹,31.130.131.0/24,2,31.130.131.104;31.130.131.10
1999,EasyNET,波兰 大波兰省 波茲南,31.133.0.0/24,2,31.133.0.124;31.133.0.133
2000,Baykov Ilya Sergeevich,波兰 Masovian 華沙,31.169.126.0/24,2,31.169.126.145;31.169.126.66
2001,FORNEX,德国 黑森州 法兰克福,31.172.75.0/24,2,31.172.75.10;31.172.75.110
2002,FORNEX,德国 黑森州 法兰克福,31.172.77.0/24,2,31.172.77.28;31.172.77.212
2003,FORNEX,荷兰 南荷蘭省 鹿特丹,31.172.78.0/24,2,31.172.78.187;31.172.78.32
2004,Baxet Group Inc,瑞典 Stockholm County 斯德哥尔摩,31.192.244.0/24,2,31.192.244.235;31.192.244.36
2005,Hostkey,荷兰 北荷兰省 阿姆斯特丹,31.207.44.0/24,2,31.207.44.244;31.207.44.161
2006,HostHatch LLC,荷兰 北荷兰省 阿姆斯特丹,31.220.42.0/24,2,31.220.42.244;31.220.42.227
2007,AWS EC2 (ap-northeast-1),日本 Tokyo 東京都,35.79.123.0/24,2,35.79.123.195;35.79.123.51
2008,Google Cloud (us-west1),美国 俄勒冈州 The Dalles,35.212.214.0/24,2,35.212.214.226;35.212.214.143
2009,Google Cloud (us-west1),美国 俄勒冈州 The Dalles,35.212.217.0/24,2,35.212.217.219;35.212.217.90
2010,Hetzner Online GmbH,芬兰 新地区 赫尔辛基,37.27.92.0/24,2,37.27.92.60;37.27.92.255
2011,Hetzner Online GmbH,芬兰 新地区 赫尔辛基,37.27.220.0/24,2,37.27.220.64;37.27.220.78
2012,VPS static ips,法国 上法兰西大区 鲁贝,37.59.114.0/24,2,37.59.114.40;37.59.114.37
2013,ProHosting24,德国 北莱茵-威斯特法伦 莱奥波尔茨赫黑,37.114.34.0/24,2,37.114.34.54;37.114.34.30
2014,NETCUP-GMBH,德国 巴伐利亚州 纽伦堡,37.120.169.0/24,2,37.120.169.237;37.120.169.217
2015,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.0.0/24,2,37.139.0.134;37.139.0.42
2016,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.2.0/24,2,37.139.2.218;37.139.2.248
2017,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.7.0/24,2,37.139.7.140;37.139.7.179
2018,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.13.0/24,2,37.139.13.26;37.139.13.192
2019,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.20.0/24,2,37.139.20.72;37.139.20.215
2020,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.22.0/24,2,37.139.22.172;37.139.22.231
2021,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.23.0/24,2,37.139.23.46;37.139.23.182
2022,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.24.0/24,2,37.139.24.58;37.139.24.45
2023,Digital Ocean,荷兰 北荷兰省 阿姆斯特丹,37.139.26.0/24,2,37.139.26.144;37.139.26.194
2024,Digitalocean,荷兰 北荷兰省 阿姆斯特丹,37.139.29.0/24,2,37.139.29.50;37.139.29.83
2025,"Timeweb, LLP",德国 黑森州 法兰克福,37.220.82.0/24,2,37.220.82.136;37.220.82.145
2026,"JSC ""TIMEWEB""",荷兰 北荷兰省 阿姆斯特丹,37.220.85.0/24,2,37.220.85.113;37.220.85.184
2027,IROKO Networks Corporation,波兰 波美拉尼亞省 格但斯克,37.252.11.0/24,2,37.252.11.49;37.252.11.221
2028,Kurun Cloud Inc,美国 加州 洛杉矶,38.49.36.0/24,2,38.49.36.251;38.49.36.234
2029,Xnnet LLC,中国香港 離島區 Tung Chung,38.55.96.0/24,2,38.55.96.16;38.55.96.181
2030,Xnnet LLC,中国香港 離島區 Tung Chung,38.55.99.0/24,2,38.55.99.214;38.55.99.225
2031,Xnnet LLC,中国香港 Kowloon 香港,38.55.105.0/24,2,38.55.105.159;38.55.105.44
2032,Xnnet LLC,中国香港 離島區 Tung Chung,38.55.108.0/24,2,38.55.108.5;38.55.108.22
2033,Xnnet LLC,美国 加州 洛杉矶,38.55.111.0/24,2,38.55.111.141;38.55.111.161
2034,Sanyi BBH,美国 加州 洛杉矶,38.58.108.0/24,2,38.58.108.84;38.58.108.15
2035,NetLab,美国 加州 洛杉矶,38.95.79.0/24,2,38.95.79.249;38.95.79.5
2036,3hcloud LLC,美国 得克萨斯州 達拉斯,38.107.232.0/24,2,38.107.232.124;38.107.232.120
2037,Baxet Group Inc,德国 黑森州 法兰克福,38.135.55.0/24,2,38.135.55.2;38.135.55.242
2038,Xnnet LLC,中国香港 油尖旺區 旺角,38.147.173.0/24,2,38.147.173.236;38.147.173.136
2039,3NT SOLUTIONS LLP,哈萨克斯坦 Almaty 阿拉木圖,38.180.38.0/24,2,38.180.38.12;38.180.38.137
2040,3NT SOLUTIONS LLP,德国 黑森州 法兰克福,38.180.166.0/24,2,38.180.166.140;38.180.166.150
2041,3NT SOLUTIONS LLP,德国 黑森州 法兰克福,38.180.178.0/24,2,38.180.178.90;38.180.178.34
2042,3NT SOLUTIONS LLP,德国 黑森州 法兰克福,38.180.219.0/24,2,38.180.219.131;38.180.219.68
2043,Akile LTD,日本 东京都 Shibuya City,38.207.130.0/24,2,38.207.130.185;38.207.130.207
2044,VMISS Inc,中国香港 油尖旺區 旺角,38.207.176.0/24,2,38.207.176.165;38.207.176.130
2045,Octopus Web Solution Inc,墨西哥 墨西哥城市 墨西哥城,38.213.228.0/24,2,38.213.228.141;38.213.228.91
2046,NetLab,美国 加州 洛杉矶,38.244.34.0/24,2,38.244.34.228;38.244.34.62
2047,NetLab,美国 加州 洛杉矶,38.244.42.0/24,2,38.244.42.161;38.244.42.155
2048,3NT SOLUTIONS LLP,芬兰 新地区 赫尔辛基,38.244.139.0/24,2,38.244.139.13;38.244.139.64
2049,3NT SOLUTIONS LLP,爱沙尼亚 哈爾尤縣 塔林,38.244.154.0/24,2,38.244.154.149;38.244.154.141
2050,Hong Kong Telecommunications (HKT) Limited,中国香港 中西區 中環,42.200.176.0/24,2,42.200.176.163;42.200.176.168
2051,Tencent Cloud Computing,韩国 首尔特别市 首尔特别市,43.128.130.0/24,2,43.128.130.45;43.128.130.43
2052,Tencent Cloud Computing,美国 加州 圣克拉拉,43.130.58.0/24,2,43.130.58.211;43.130.58.238
2053,Aceville Pte.ltd,中国香港 Kowloon 香港,43.159.1.0/24,2,43.159.1.170;43.159.1.102
2054,"Tencent Cloud Computing (Beijing) Co., Ltd",新加坡 North West 新加坡,43.160.220.0/24,2,43.160.220.86;43.160.220.72
2055,"Tencent Cloud Computing (Beijing) Co., Ltd",新加坡 North West 新加坡,43.160.241.0/24,2,43.160.241.223;43.160.241.174
2056,Aceville Pte.ltd,新加坡 North West 新加坡,43.160.254.0/24,2,43.160.254.163;43.160.254.210
2057,"Tencent Cloud Computing (Beijing) Co., Ltd",日本 东京都 东京,43.167.224.0/24,2,43.167.224.16;43.167.224.143
2058,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.84.0/24,2,43.198.84.185;43.198.84.17
2059,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.91.0/24,2,43.198.91.248;43.198.91.110
2060,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.154.0/24,2,43.198.154.224;43.198.154.62
2061,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.186.0/24,2,43.198.186.234;43.198.186.68
2062,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.204.0/24,2,43.198.204.35;43.198.204.63
2063,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.233.0/24,2,43.198.233.214;43.198.233.180
2064,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.240.0/24,2,43.198.240.194;43.198.240.148
2065,AWS EC2 (ap-east-1),中国香港 中西區 香港,43.198.243.0/24,2,43.198.243.252;43.198.243.64
2066,AWS EC2 (ap-northeast-1),日本 Tokyo 東京都,43.207.80.0/24,2,43.207.80.10;43.207.80.133
2067,AWS EC2 (ap-northeast-1),日本 Tokyo 東京都,43.207.122.0/24,2,43.207.122.183;43.207.122.8
2068,AWS EC2 (ap-northeast-1),日本 Tokyo 東京都,43.207.222.0/24,2,43.207.222.111;43.207.222.177
2069,Vultr,日本 东京都 Minamishinagawa,43.224.33.0/24,2,43.224.33.216;43.224.33.225
2070,Nusanet,印尼 西爪哇省 Kresek,43.229.254.0/24,2,43.229.254.71;43.229.254.182
2071,VH Global Limited,中国香港 觀塘 观塘,43.254.164.0/24,2,43.254.164.160;43.254.164.50
2072,Akile LTD,中国香港 Kowloon 香港,45.8.186.0/24,2,45.8.186.20;45.8.186.78
2073,Datalix,德国 黑森州 法兰克福,45.11.229.0/24,2,45.11.229.116;45.11.229.139
2074,Datalix,德国 巴伐利亚州 埃斯滕费尔德,45.13.238.0/24,2,45.13.238.222;45.13.238.240
2075,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.32.26.0/24,2,45.32.26.111;45.32.26.243
2076,"Vultr Holdings, LLC",美国 加州 洛杉矶,45.32.80.0/24,2,45.32.80.214;45.32.80.244
2077,"Vultr Holdings, LLC",新加坡 Central Singapore 新加坡,45.32.123.0/24,2,45.32.123.157;45.32.123.57
2078,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.32.248.0/24,2,45.32.248.168;45.32.248.233
2079,Digital LLC,美国 密苏里州 堪薩斯城,45.38.19.0/24,2,45.38.19.130;45.38.19.167
2080,EGIHosting,拉脱维亚 Rīga Riga,45.38.198.0/24,2,45.38.198.129;45.38.198.150
2081,EGIHosting,美国 加利福尼亚州 圣克拉拉,45.39.33.0/24,2,45.39.33.208;45.39.33.46
2082,EGIHosting,美国 加利福尼亚州 圣克拉拉,45.39.190.0/24,2,45.39.190.24;45.39.190.155
2083,Ipxo LLC,中国香港 Kowloon 香港,45.39.199.0/24,2,45.39.199.164;45.39.199.233
2084,SIA VEESP,拉脱维亚 Rīga Riga,45.43.78.0/24,2,45.43.78.153;45.43.78.25
2085,First Server Limited,荷兰 北荷兰省 阿姆斯特丹,45.43.89.0/24,2,45.43.89.77;45.43.89.236
2086,Impact Host LLC,美国 加州 洛杉矶,45.59.102.0/24,2,45.59.102.140;45.59.102.39
2087,anyNode,瑞士 伯恩州 伯尔尼,45.59.122.0/24,2,45.59.122.74;45.59.122.12
2088,anyNode,瑞士 伯恩州 伯尔尼,45.59.123.0/24,2,45.59.123.132;45.59.123.140
2089,CoreNET Inc,美国 加州 洛杉矶,45.59.128.0/24,2,45.59.128.165;45.59.128.171
2090,CoreNET Inc,美国 加州 洛杉矶,45.59.131.0/24,2,45.59.131.33;45.59.131.119
2091,FranTech Solutions,美国 内华达州 拉斯维加斯,45.61.149.0/24,2,45.61.149.204;45.61.149.205
2092,IT7 Networks Inc,美国 加州 洛杉矶,45.62.115.0/24,2,45.62.115.189;45.62.115.31
2093,IT7 Networks Inc,荷兰 北荷兰省 阿姆斯特丹,45.62.120.0/24,2,45.62.120.254;45.62.120.97
2094,"Vultr Holdings, LLC",美国 加州 洛杉矶,45.63.49.0/24,2,45.63.49.61;45.63.49.182
2095,"Vultr Holdings, LLC",美国 加州 洛杉矶,45.63.53.0/24,2,45.63.53.156;45.63.53.36
2096,"Vultr Holdings, LLC",美国 加州 洛杉矶,45.63.56.0/24,2,45.63.56.229;45.63.56.34
2097,"Vultr Holdings, LLC",美国 加州 圣克拉拉,45.63.82.0/24,2,45.63.82.124;45.63.82.161
2098,"Vultr Holdings, LLC",美国 加州 圣克拉拉,45.63.90.0/24,2,45.63.90.101;45.63.90.209
2099,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.63.122.0/24,2,45.63.122.93;45.63.122.193
2100,PAGM network,爱沙尼亚 東維魯縣 約赫維,45.67.130.0/24,2,45.67.130.164;45.67.130.107
2101,"Vultr Holdings, LLC",美国 伊利诺伊州 Elk Grove Village,45.76.26.0/24,2,45.76.26.99;45.76.26.71
2102,"Vultr Holdings, LLC",新加坡 South West 新加坡,45.76.158.0/24,2,45.76.158.201;45.76.158.46
2103,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.76.198.0/24,2,45.76.198.248;45.76.198.38
2104,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.76.207.0/24,2,45.76.207.88;45.76.207.134
2105,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.76.222.0/24,2,45.76.222.52;45.76.222.30
2106,"Vultr Holdings, LLC",美国 加州 洛杉矶,45.77.127.0/24,2,45.77.127.229;45.77.127.64
2107,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.77.129.0/24,2,45.77.129.201;45.77.129.86
2108,"Vultr Holdings, LLC",日本 东京都 Minamishinagawa,45.77.130.0/24,2,45.77.130.24;45.77.130.6
2109,IT7 Networks Inc,日本 大阪府 大阪市,45.78.50.0/24,2,45.78.50.130;45.78.50.40
2110,NetCrafters OU,瑞典 Stockholm County 斯德哥尔摩,45.80.228.0/24,2,45.80.228.175;45.80.228.242
2111,NetCrafters OU,瑞典 Stockholm County 斯德哥尔摩,45.80.230.0/24,2,45.80.230.215;45.80.230.2
2112,BlueVPS OU,爱沙尼亚 哈爾尤縣 塔林,45.83.182.0/24,2,45.83.182.80;45.83.182.60
2113,M247 Europe SRL,荷兰 北荷兰省 阿姆斯特丹,45.84.123.0/24,2,45.84.123.204;45.84.123.206
2114,Serva ONE LTD,瑞士 日內瓦州 日内瓦,45.85.93.0/24,2,45.85.93.45;45.85.93.49
2115,Brainoza OU,荷兰 德伦特省 Meppel,45.85.117.0/24,2,45.85.117.17;45.85.117.168
2116,SpectraIP B.V.,荷兰 北荷兰省 阿姆斯特丹,45.87.43.0/24,2,45.87.43.199;45.87.43.228
2117,Clodo Cloud Service CO. L.L.C,荷兰 北荷兰省 阿姆斯特丹,45.88.174.0/24,2,45.88.174.49;45.88.174.96
2118,Taymaz Gostaran Naghshe Almas Co. ( Ltd ),荷兰 北荷兰省 阿姆斯特丹,45.89.220.0/24,2,45.89.220.70;45.89.220.130
2119,Green Floid LLC,瑞士 日內瓦州 日内瓦,45.90.57.0/24,2,45.90.57.139;45.90.57.242
2120,Green Floid LLC,瑞士 日內瓦州 日内瓦,45.90.58.0/24,2,45.90.58.17;45.90.58.140
2121,Greencloud LLC,新加坡 North West 新加坡,45.92.158.0/24,2,45.92.158.145;45.92.158.166
2122,1337 Services GmbH,荷兰 North Holland 阿姆斯特丹,45.94.31.0/24,2,45.94.31.86;45.94.31.171
2123,xTom Japan Corporation,日本 Tokyo 東京都,45.94.40.0/24,2,45.94.40.58;45.94.40.102
2124,nuxt.cloud hosting provider,德国 黑森州 法兰克福,45.95.0.0/24,2,45.95.0.36;45.95.0.43
2125,Tngnet B.V,荷兰 北荷兰省 Hoofddorp,45.95.42.0/24,2,45.95.42.172;45.95.42.232
2126,Host Europe,法国 Grand Est 斯特拉斯堡,45.95.174.0/24,2,45.95.174.50;45.95.174.226
2127,Global Connectivity Solutions LLP,瑞士 苏黎世州 苏黎世,45.95.232.0/24,2,45.95.232.18;45.95.232.113
2128,Clodo Cloud Service CO. L.L.C,荷兰 北荷兰省 阿姆斯特丹,45.114.60.0/24,2,45.114.60.221;45.114.60.159
2129,Clodo Cloud Service CO. L.L.C,荷兰 北荷兰省 阿姆斯特丹,45.114.63.0/24,2,45.114.63.139;45.114.63.114
2130,Individual Entrepreneur Anton Levin,荷兰 德伦特省 阿森,45.128.96.0/24,2,45.128.96.216;45.128.96.63
2131,Aleksei Fedorov PR Krusevac,荷兰 德伦特省 Meppel,45.129.143.0/24,2,45.129.143.249;45.129.143.91
2132,Serva ONE LTD,德国 北莱茵-威斯特法伦 杜塞尔多夫,45.129.242.0/24,2,45.129.242.17;45.129.242.180
2133,"Misaka Network, Inc",德意志联邦共和国 柏林 柏林,45.131.71.0/24,2,45.131.71.168;45.131.71.183
2134,ITGLOBAL,加拿大 安大略 多伦多,45.133.17.0/24,2,45.133.17.106;45.133.17.118
2135,Hizakura B.V.,荷兰 North Holland 阿姆斯特丹,45.133.118.0/24,2,45.133.118.56;45.133.118.153
2136,Locix Limited,荷兰 North Holland 阿姆斯特丹,45.133.119.0/24,2,45.133.119.31;45.133.119.78
2137,POWER-SERVERS-ROLE-ORG,芬兰 新地区 赫尔辛基,45.133.246.0/24,2,45.133.246.57;45.133.246.84
2138,Pptechnology Limited,羅馬尼亞 Braşov Văleni,45.134.48.0/24,2,45.134.48.53;45.134.48.112
2139,Xnnet Limited,中国香港 Kowloon 香港,45.136.14.0/24,2,45.136.14.61;45.136.14.153
2140,netcup GmbH,德国 巴伐利亚州 纽伦堡,45.136.29.0/24,2,45.136.29.191;45.136.29.99
2141,Aeza Network Helsinki,芬兰 新地区 赫尔辛基,45.137.60.0/24,2,45.137.60.165;45.137.60.60
2142,Gtelcom LLC,德国 黑森州 Neu-Isenburg,45.138.72.0/24,2,45.138.72.141;45.138.72.51
2143,Baykov Ilya Sergeevich,美国 新泽西州 Secaucus,45.138.100.0/24,2,45.138.100.225;45.138.100.200
2144,SPEEDYPAGE-LTD,新加坡 North East 新加坡,45.139.226.0/24,2,45.139.226.157;45.139.226.92
2145,Mevspace SP Z O O,波兰 Mazovia 华沙,45.140.204.0/24,2,45.140.204.37;45.140.204.38
2146,"White Label Services, LLC",土耳其 伊斯坦布尔 伊斯坦布尔,45.141.148.0/24,2,45.141.148.53;45.141.148.137
2147,Aeza International LTD,瑞典 Stockholm County 斯德哥尔摩,45.141.177.0/24,2,45.141.177.0;45.141.177.62
2148,Greencloud LLC,日本 Tokyo 東京都,45.142.166.0/24,2,45.142.166.248;45.142.166.211
2149,netcup GmbH,德国 巴伐利亚州 纽伦堡,45.142.178.0/24,2,45.142.178.163;45.142.178.161
2150,BlueVPS OU,荷兰 North Holland 阿姆斯特丹,45.143.166.0/24,2,45.143.166.207;45.143.166.159
2151,Global Connectivity Solutions LLP,瑞士 苏黎世州 苏黎世,45.143.200.0/24,2,45.143.200.68;45.143.200.141
2152,Limited liability company,波兰 Mazovia 华沙,45.144.49.0/24,2,45.144.49.146;45.144.49.163
2153,Aeza International LTD,德国 黑森州 法兰克福,45.144.55.0/24,2,45.144.55.132;45.144.55.139
2154,Aeza International LTD,瑞典 Stockholm County 斯德哥尔摩,45.145.14.0/24,2,45.145.14.72;45.145.14.168
2155,TEEMO,中国香港 Kowloon 香港,45.145.228.0/24,2,45.145.228.222;45.145.228.38
2156,Teemo,中国香港 Kowloon 香港,45.145.229.0/24,2,45.145.229.44;45.145.229.223
2157,Dasabo OU,德国 黑森州 法兰克福,45.146.202.0/24,2,45.146.202.145;45.146.202.28
2158,xTom GmbH,德意志联邦共和国 Hesse Frankfurt Am Main,45.147.49.0/24,2,45.147.49.242;45.147.49.183
2159,Hizakura B.V.,荷兰 North Holland 阿姆斯特丹,45.148.60.0/24,2,45.148.60.166;45.148.60.85
2160,Global Connectivity Solutions LLP,瑞士 苏黎世州 苏黎世,45.148.102.0/24,2,45.148.102.235;45.148.102.244
2161,SERV.HOST GROUP LTD,荷兰 北荷兰省 阿姆斯特丹,45.149.235.0/24,2,45.149.235.174;45.149.235.29
2162,Aeza Group LLC,德国 黑森州 法兰克福,45.150.32.0/24,2,45.150.32.42;45.150.32.112
2163,HostHatch,荷兰 北荷兰省 阿姆斯特丹,45.151.142.0/24,2,45.151.142.117;45.151.142.239
2164,Retzor com,捷克 Prague 布拉格,45.151.183.0/24,2,45.151.183.187;45.151.183.22
2165,Baykov Ilya Sergeevich,荷兰 Provincie Flevoland Dronten,45.151.233.0/24,2,45.151.233.18;45.151.233.249
2166,Zhihua Lu,英国 英格兰 伦敦,45.152.64.0/24,2,45.152.64.39;45.152.64.16
2167,Greencloud LLC,日本 Tokyo 東京都,45.153.246.0/24,2,45.153.246.47;45.153.246.5
2168,Host4Biz sp. z o.o,瑞士 苏黎世州 苏黎世,45.154.145.0/24,2,45.154.145.14;45.154.145.2
2169,PSB Hosting,荷兰 北荷兰省 阿姆斯特丹,45.155.69.0/24,2,45.155.69.179;45.155.69.149
2170,HOSTKEY,法国 法兰西岛 巴黎,45.155.103.0/24,2,45.155.103.57;45.155.103.45
2171,dataforest GmbH,德国 黑森州 法兰克福,45.157.233.0/24,2,45.157.233.109;45.157.233.101
2172,Akile LTD,中国香港 Kowloon 香港,45.192.247.0/24,2,45.192.247.199;45.192.247.155
2173,Akile LTD,日本 东京都 东京,45.192.249.0/24,2,45.192.249.158;45.192.249.63
2174,Cloud Innovation Ltd,波兰 Mazovia 华沙,45.194.66.0/24,2,45.194.66.96;45.194.66.88
2175,Akile LTD,美国 加州 洛杉矶,45.202.240.0/24,2,45.202.240.235;45.202.240.132
2176,Akile LTD,美国 加州 洛杉矶,45.202.243.0/24,2,45.202.243.88;45.202.243.164
2177,YUN ZHONG TECHNOLOGY LIMITED,中国澳门 澳门,45.202.247.0/24,2,45.202.247.152;45.202.247.198
2178,Akile LTD,中国香港 Kowloon 香港,45.202.248.0/24,2,45.202.248.172;45.202.248.234
2179,"Kamatera, Inc.",瑞典 Stockholm 斯德哥尔摩,45.248.37.0/24,2,45.248.37.164;45.248.37.82
2180,Cloud Software - FZCO,美国 威斯康辛州 Middleton,46.8.102.0/24,2,46.8.102.75;46.8.102.223
2181,First Server Limited,荷兰 北荷兰省 阿姆斯特丹,46.8.126.0/24,2,46.8.126.124;46.8.126.87
2182,First Server Limited,芬兰 新地区 赫尔辛基,46.8.178.0/24,2,46.8.178.234;46.8.178.47
2183,First Server Limited,英国 英格兰 伦敦,46.8.182.0/24,2,46.8.182.41;46.8.182.86
2184,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,46.8.228.0/24,2,46.8.228.165;46.8.228.102
2185,CGI GLOBAL LIMITED,拉脱维亚 Riga 里加,46.8.237.0/24,2,46.8.237.3;46.8.237.105
